City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,17.35,82,78,0.86,US,1687228909
1,port-aux-francais,-49.35,70.2167,3.16,67,59,12.92,TF,1687228909
2,ribeira grande,38.5167,-28.7,18.76,91,91,1.79,PT,1687228909
3,inirida,3.8653,-67.9239,22.4,96,64,0.53,CO,1687228910
4,north side,19.35,-81.2,29.04,84,20,3.6,KY,1687228910
5,port alfred,-33.5906,26.891,9.54,69,80,2.24,ZA,1687228910
6,yellowknife,62.456,-114.3525,14.29,47,20,5.14,CA,1687228910
7,saipan,15.1355,145.701,32.39,100,40,5.66,MP,1687228910
8,udachny,66.4167,112.4,14.14,35,100,4.5,RU,1687228910
9,puerto natales,-51.7236,-72.4875,-1.0,91,100,1.3,CL,1687228911
10,puerto ayora,-0.7393,-90.3518,25.31,93,1,1.79,EC,1687228911
11,constantia,44.1833,28.65,16.5,84,50,4.16,RO,1687228911
12,minas de marcona,-15.2119,-75.1103,13.01,87,64,5.04,PE,1687228911
13,avarua,-21.2078,-159.775,26.03,83,75,5.14,CK,1687228911
14,blagoveshchenka,52.8333,79.8667,16.71,56,5,8.99,RU,1687228911
15,bilibino,68.0546,166.4372,18.86,26,18,8.38,RU,1687228911
16,talnakh,69.4865,88.3972,2.08,100,100,2.28,RU,1687228912
17,mejit,10.2753,170.8646,27.87,78,92,7.18,MH,1687228912
18,papatowai,-46.5619,169.4708,12.05,90,98,4.6,NZ,1687228912
19,edinburgh of the seven seas,-37.0676,-12.3116,15.69,96,100,10.33,SH,1687228912
20,somerset east,-32.7217,25.588,5.57,71,36,9.38,ZA,1687228912
21,susuman,62.7833,148.1667,24.05,21,5,1.59,RU,1687228912
22,zonguldak,41.25,31.8333,14.3,98,100,2.14,TR,1687228912
23,pamandzi,-12.7967,45.2794,24.88,83,5,3.6,YT,1687228913
24,turpan,42.9333,89.1667,39.43,10,85,1.28,CN,1687228913
25,naze,28.3667,129.4833,24.51,88,89,2.35,JP,1687228913
26,fort bragg,35.139,-79.006,22.68,92,75,1.54,US,1687228913
27,berbera,10.4396,45.0143,32.77,44,6,5.69,SO,1687228913
28,mirnyy,62.5353,113.9611,15.13,38,100,5.81,RU,1687228913
29,vadso,70.0744,29.7487,7.49,81,75,5.66,NO,1687228913
30,bam,29.106,58.357,36.47,18,20,3.0,IR,1687228914
31,lompoc,34.6391,-120.4579,17.66,75,0,10.29,US,1687228914
32,northam,51.0333,-4.2167,15.34,95,100,1.41,GB,1687228914
33,znamenskoye,57.1281,73.8282,5.06,95,100,7.92,RU,1687228914
34,puerto baquerizo moreno,-0.9,-89.6,24.83,86,2,4.31,EC,1687228915
35,quatre cocos,-20.2078,57.7625,22.06,70,98,7.04,MU,1687228915
36,mukalla,14.5425,49.1242,30.44,69,27,0.84,YE,1687228915
37,port elizabeth,-33.918,25.5701,12.28,72,75,14.4,ZA,1687228672
38,bredasdorp,-34.5322,20.0403,8.22,79,74,4.53,ZA,1687228916
39,blackmans bay,-43.0167,147.3167,10.29,62,56,4.39,AU,1687228916
40,filingue,14.3521,3.3168,31.7,42,86,3.74,NE,1687228916
41,ancud,-41.8697,-73.8203,5.61,84,3,3.63,CL,1687228916
42,buala,-8.145,159.5921,28.31,77,93,0.85,SB,1687228916
43,hami,42.8,93.45,36.24,6,20,3.36,CN,1687228917
44,port sudan,19.6175,37.2164,29.5,71,60,3.3,SD,1687228917
45,beitbridge,-22.2167,30.0,15.48,31,0,3.11,ZW,1687228918
46,college,64.8569,-147.8028,19.77,48,100,3.09,US,1687228918
47,priozersk,61.0393,30.1291,15.06,59,47,3.48,RU,1687228918
48,ilulissat,69.2167,-51.1,6.01,65,75,1.03,GL,1687228919
49,afaahiti,-17.75,-149.2833,27.81,78,2,4.07,PF,1687228920
50,utrik,11.2278,169.8474,27.97,78,52,6.63,MH,1687228920
51,georgetown,5.4112,100.3354,31.96,74,20,1.54,MY,1687228920
52,wailua homesteads,22.0669,-159.378,27.24,75,40,5.14,US,1687228921
53,lumding railway colony,25.749,93.17,30.13,66,73,1.86,IN,1687228921
54,cacapava do sul,-30.5122,-53.4914,6.06,92,100,0.94,BR,1687228921
55,moengo,5.6167,-54.4,23.11,99,64,0.26,SR,1687228921
56,grytviken,-54.2811,-36.5092,-3.39,69,26,5.09,GS,1687228922
57,margaret river,-33.95,115.0667,12.69,61,83,6.98,AU,1687228922
58,santa elena de uairen,4.6167,-61.1333,18.83,97,41,0.81,VE,1687228922
59,lionel town,17.8101,-77.2406,29.94,80,100,3.87,JM,1687228922
60,isafjordur,66.0755,-23.124,4.32,93,100,4.3,IS,1687228922
61,cesvaine,56.9667,26.3167,13.48,84,76,1.38,LV,1687228923
62,kidal,18.4411,1.4078,33.75,24,55,3.17,ML,1687228923
63,howard springs,-12.497,131.047,31.01,39,54,3.83,AU,1687228923
64,codrington,-38.2667,141.9667,9.91,67,100,2.81,AU,1687228923
65,longyearbyen,78.2186,15.6401,4.91,93,75,1.03,SJ,1687228923
66,antofagasta,-23.65,-70.4,16.6,65,3,3.47,CL,1687228924
67,corner brook,48.9667,-57.9484,5.09,98,100,1.49,CA,1687228924
68,adamstown,-25.066,-130.1015,23.77,82,65,10.9,PN,1687228924
69,brookings,44.3114,-96.7984,29.19,51,0,6.69,US,1687228924
70,ushuaia,-54.8,-68.3,2.81,70,0,2.06,AR,1687228879
71,kot samaba,28.5522,70.4684,34.65,43,4,7.66,PK,1687228925
72,iqaluit,63.7506,-68.5145,5.85,75,100,1.54,CA,1687228925
73,las tablas,7.7667,-80.2833,27.19,86,100,3.01,PA,1687228926
74,elista,46.3078,44.2558,14.29,54,6,3.13,RU,1687228926
75,yaren,-0.5472,166.916,28.04,72,100,1.45,NR,1687228926
76,ji'an,27.1172,114.9793,30.21,75,100,2.58,CN,1687228926
77,port douglas,-16.4833,145.4667,23.99,66,38,2.91,AU,1687228926
78,qaisumah,28.3112,46.1273,27.98,21,0,0.0,SA,1687228926
79,navalmoral de la mata,39.8916,-5.5406,17.77,81,80,1.61,ES,1687228927
80,stanley,54.868,-1.6985,12.62,93,0,0.0,GB,1687228927
81,qaqortoq,60.7167,-46.0333,1.89,86,34,0.26,GL,1687228927
82,pogranichnyy,44.4064,131.3769,25.58,52,99,3.69,RU,1687228927
83,jose maria morelos,23.3952,-103.8984,24.83,15,64,4.97,MX,1687228928
84,dudinka,69.4058,86.1778,3.74,92,100,3.68,RU,1687228928
85,necochea,-38.5473,-58.7368,10.12,84,100,5.35,AR,1687228928
86,jamestown,42.097,-79.2353,22.8,60,0,3.6,US,1687228655
87,lake havasu city,34.4839,-114.3224,35.0,21,23,10.8,US,1687228928
88,punta arenas,-53.15,-70.9167,2.06,80,0,7.72,CL,1687228873
89,dryden,49.7833,-92.7503,25.16,57,0,3.09,CA,1687228929
90,vila velha,-20.3297,-40.2925,21.08,81,40,4.12,BR,1687228929
91,okha,53.5739,142.9478,11.89,76,23,4.24,RU,1687228929
92,whakatane,-37.9585,176.9854,15.84,85,100,1.79,NZ,1687228929
93,bamboo flat,11.7,92.7167,28.16,81,100,7.1,IN,1687228929
94,gadzhiyevo,69.2551,33.3362,6.36,72,3,1.62,RU,1687228929
95,hawaiian paradise park,19.5933,-154.9731,25.02,86,100,2.06,US,1687228857
96,sovetskaya gavan',48.9723,140.2878,14.59,67,6,3.99,RU,1687228930
97,alofi,-19.0595,-169.9187,24.94,69,75,4.12,NU,1687228930
98,akureyri,65.6835,-18.0878,5.96,93,100,4.12,IS,1687228930
99,betio village,1.358,172.9211,30.02,75,100,2.0,KI,1687228930
100,bethel,41.3712,-73.414,19.38,82,0,2.57,US,1687228734
101,bouarfa,32.53,-1.95,22.85,18,0,0.61,MA,1687228931
102,tiksi,71.6872,128.8694,8.51,80,100,5.42,RU,1687228931
103,general mosconi,-23.1851,-62.303,20.93,57,71,3.02,AR,1687228931
104,lebu,-37.6167,-73.65,11.63,80,100,1.98,CL,1687228931
105,hilo,19.7297,-155.09,27.93,89,100,2.24,US,1687228932
106,sabzevar,36.2126,57.6819,26.58,38,0,4.64,IR,1687228932
107,porto belo,-27.1578,-48.5531,15.09,82,95,2.57,BR,1687228932
108,huaquillas,-3.4833,-80.2333,26.13,83,75,2.06,EC,1687228932
109,sisimiut,66.9395,-53.6735,8.01,47,100,2.75,GL,1687228932
110,hermanus,-34.4187,19.2345,9.89,70,76,7.65,ZA,1687228932
111,maceio,-9.6658,-35.7353,22.69,100,100,3.09,BR,1687228925
112,grand falls-windsor,48.9332,-55.6649,4.17,93,100,4.02,CA,1687228933
113,cole harbour,44.6724,-63.4751,10.95,86,100,6.69,CA,1687228933
114,waitangi,-43.9535,-176.5597,11.57,82,71,3.58,NZ,1687228933
115,pacific grove,36.6177,-121.9166,17.71,77,0,8.94,US,1687228933
116,katsuura,35.1333,140.3,25.01,67,98,4.9,JP,1687228933
117,aral,40.5156,81.2636,31.3,19,10,0.18,CN,1687228934
118,toguchin,55.2353,84.3858,23.67,60,100,6.45,RU,1687228934
119,san patricio,28.017,-97.5169,30.65,83,6,6.33,US,1687228934
120,tralee,52.2704,-9.7026,12.0,96,14,1.89,IE,1687228934
121,ouani,-12.1322,44.4258,24.49,75,6,0.48,KM,1687228934
122,port blair,11.6667,92.75,28.15,81,100,7.17,IN,1687228935
123,port mathurin,-19.6833,63.4167,23.98,65,21,8.74,MU,1687228935
124,mount pearl,47.5166,-52.7813,6.75,97,100,4.63,CA,1687228935
125,port macquarie,-31.4333,152.9167,16.05,37,12,5.94,AU,1687228935
126,reggane,26.7158,0.1714,32.63,10,0,3.3,DZ,1687228935
127,mamuju,-2.6748,118.8885,27.96,78,88,2.54,ID,1687228935
128,bel ombre,-4.6167,55.4167,24.91,88,75,6.17,SC,1687228936
129,fort mcmurray,56.7268,-111.381,12.77,94,100,4.63,CA,1687228675
130,dolores,-36.3132,-57.6792,6.78,89,100,2.67,AR,1687228936
131,tazovsky,67.4667,78.7,2.78,87,100,3.17,RU,1687228936
132,sayat,38.7839,63.8803,26.93,29,0,5.73,TM,1687228936
133,bulalacao,12.3254,121.3435,29.81,69,40,2.18,PH,1687228936
134,kapuskasing,49.4169,-82.4331,24.05,56,0,2.06,CA,1687228937
135,margate,51.3813,1.3862,17.05,83,96,1.34,GB,1687228559
136,lubang,13.8584,120.124,28.78,73,54,1.09,PH,1687228937
137,klyuchi,52.2667,79.1667,17.64,49,0,9.0,RU,1687228937
138,dompu,-8.5356,118.4622,31.29,53,11,1.23,ID,1687228937
139,usinsk,65.9939,57.5281,5.88,69,100,5.93,RU,1687228937
140,pisco,-13.7,-76.2167,20.03,77,100,2.57,PE,1687228937
141,badger,64.8,-147.5333,19.73,43,100,3.09,US,1687228938
142,matthew town,20.95,-73.6667,28.03,80,62,5.66,BS,1687228938
143,inderbor,48.55,51.7833,15.53,41,0,2.91,KZ,1687228938
144,acajutla,13.5928,-89.8275,27.23,82,64,2.34,SV,1687228938
145,mont-dore,-22.2833,166.5833,27.99,99,40,1.66,NC,1687228938
146,queenstown,-31.8976,26.8753,3.78,63,14,7.31,ZA,1687228939
147,kununurra,-15.7667,128.7333,27.99,21,96,3.6,AU,1687228939
148,atafu village,-8.5421,-172.5159,28.23,67,7,4.47,TK,1687228939
149,kayangel,8.0823,134.7173,28.86,74,23,4.19,PW,1687228939
150,tabas,33.5959,56.9244,35.03,14,1,0.5,IR,1687228939
151,invercargill,-46.4,168.35,12.04,80,82,1.07,NZ,1687228939
152,nar'yan-mar,67.6713,53.087,6.58,63,18,5.66,RU,1687228940
153,ust-nera,64.5667,143.2,25.54,24,100,2.72,RU,1687228941
154,arraial do cabo,-22.9661,-42.0278,20.88,60,100,2.16,BR,1687228941
155,lazaro cardenas,17.9583,-102.2,28.42,78,0,2.51,MX,1687228942
156,leninskoye,41.7589,69.3864,27.79,34,1,0.45,KZ,1687228943
157,wynyard,-41.0,145.7167,12.21,55,9,4.24,AU,1687228943
158,west island,-12.1568,96.8225,26.99,83,100,5.66,CC,1687228943
159,viqueque,-8.8673,126.3658,26.82,75,95,2.65,TL,1687228943
160,al marj,32.488,20.8317,16.88,90,0,1.89,LY,1687228943
161,as sulayyil,20.4607,45.5779,26.14,12,88,2.63,SA,1687228944
162,bay harbor,30.1471,-85.6146,26.97,94,0,3.6,US,1687228944
163,shingu,33.7333,135.9833,23.41,87,100,2.64,JP,1687228944
164,kangding,30.0513,101.9603,17.55,50,96,3.01,CN,1687228944
165,marovoay,-16.1,46.6333,16.38,76,5,2.22,MG,1687228944
166,manta,-0.95,-80.7333,26.67,89,75,8.05,EC,1687228944
167,lospalos,-8.5186,127.0025,25.75,70,99,5.11,TL,1687228945
168,walvis bay,-22.9575,14.5053,7.53,70,0,4.63,NA,1687228945
169,thompson,55.7435,-97.8558,19.09,94,75,1.54,CA,1687228945
170,shimoda,34.6667,138.95,23.95,70,93,4.81,JP,1687228945
171,edmundston,47.3737,-68.3251,12.64,94,100,1.54,CA,1687228945
172,lerwick,60.1545,-1.1494,13.0,94,17,5.53,GB,1687228945
173,hamilton,39.1834,-84.5333,21.43,91,40,3.09,US,1687228460
174,kavaratti,10.5669,72.642,28.7,76,100,5.77,IN,1687228946
175,haiku-pauwela,20.9219,-156.3051,28.01,59,20,8.75,US,1687228946
176,zaozersk,69.4005,32.4476,6.64,75,14,2.36,RU,1687228946
177,tofol,5.3248,163.0078,28.88,84,75,1.54,FM,1687228946
178,east ballina,-28.8667,153.5833,18.22,40,52,4.69,AU,1687228946
179,williamston,35.8546,-77.0555,24.94,84,100,2.66,US,1687228947
180,zhaotong,27.3167,103.7167,20.16,67,99,1.23,CN,1687228947
181,santa terezinha,-29.9002,-50.0904,14.25,82,100,5.12,BR,1687228947
182,island harbour,50.724,-1.2758,17.08,90,100,0.89,GB,1687228947
183,angra do heroismo,38.65,-27.2167,19.34,88,100,2.12,PT,1687228947
184,keflavik,64.0049,-22.5624,9.95,93,75,5.66,IS,1687228947
185,moyynkum,44.2914,72.9469,27.33,41,38,5.32,KZ,1687228948
186,dwarka,22.2394,68.9678,29.7,71,100,7.12,IN,1687228948
187,kattivakkam,13.2167,80.3167,27.05,94,100,5.82,IN,1687228948
188,happy valley-goose bay,53.3168,-60.3315,11.17,50,20,4.12,CA,1687228948
189,majene,-3.5403,118.9707,28.2,74,81,2.78,ID,1687228948
190,sitka,57.0531,-135.33,17.94,63,0,3.09,US,1687228949
191,rudnya,54.947,31.0934,14.05,79,38,2.17,RU,1687228949
192,fale old settlement,-9.3852,-171.2468,28.14,68,17,3.95,TK,1687228949
193,saudarkrokur,65.7461,-19.6394,4.84,98,100,5.3,IS,1687228949
194,shinkafi,13.0753,6.5105,28.1,49,89,4.09,NG,1687228949
195,urumqi,43.801,87.6005,30.53,18,0,2.0,CN,1687228949
196,dunedin,-45.8742,170.5036,12.11,85,96,2.68,NZ,1687228680
197,acapulco de juarez,16.8634,-99.8901,29.9,74,40,1.03,MX,1687228950
198,urangan,-25.3,152.9,20.39,34,1,3.92,AU,1687228950
199,kodiak,57.79,-152.4072,17.73,59,0,2.57,US,1687228950
200,vorgashor,67.5833,63.95,4.02,75,100,5.1,RU,1687228950
201,kingston,17.997,-76.7936,29.53,79,20,6.69,JM,1687228695
202,al mindak,20.1588,41.2834,22.78,30,96,1.58,SA,1687228950
203,masterton,-40.9597,175.6575,14.38,78,50,1.56,NZ,1687228951
204,okhotsk,59.3833,143.3,11.73,79,88,4.31,RU,1687228951
205,dong ha,16.8163,107.1003,35.35,45,30,4.6,VN,1687228951
206,muisne,0.6,-80.0333,26.05,85,92,2.59,EC,1687228951
207,bertoua,4.5833,13.6833,19.37,100,100,1.28,CM,1687228951
208,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,87,75,4.0,RU,1687228951
209,nyurba,63.2842,118.3319,8.05,84,100,5.68,RU,1687228952
210,tarawa,1.419,172.984,30.05,74,75,2.06,KI,1687228952
211,hoemul-li,41.4339,129.67,20.48,73,100,1.25,KP,1687228952
212,anadyr,64.75,177.4833,22.28,37,20,3.0,RU,1687228952
213,daru,-9.0763,143.2092,27.32,70,60,5.36,PG,1687228952
214,hadibu,12.65,54.0333,27.07,80,62,8.43,YE,1687228953
215,nanning,22.8167,108.3167,31.25,65,95,2.97,CN,1687228953
216,wangqing,43.3218,129.7634,23.88,60,100,2.56,CN,1687228953
217,louis trichardt,-23.0439,29.9032,13.36,27,0,1.12,ZA,1687228953
218,sumbawa besar,-8.5,117.4333,30.66,49,17,3.05,ID,1687228953
219,inhambane,-23.865,35.3833,17.78,87,0,4.82,MZ,1687228953
220,cabo san lucas,22.8909,-109.9124,33.61,36,75,5.66,MX,1687228954
221,sarangani,5.4033,125.4636,25.92,88,100,5.82,PH,1687228954
222,sassandra,4.95,-6.0833,24.02,94,93,3.17,CI,1687228954
223,surskoye,54.4821,46.7214,9.83,95,100,2.53,RU,1687228954
224,iskateley,67.6803,53.1512,6.54,63,18,5.72,RU,1687228954
225,maragogi,-9.0122,-35.2225,23.92,87,85,2.42,BR,1687228954
226,sao tome,0.3365,6.7273,24.65,83,100,4.59,ST,1687228955
227,al khafji,28.4391,48.4913,31.18,36,0,6.34,SA,1687228955
228,aitape,-3.1374,142.3475,29.13,70,75,2.67,PG,1687228955
229,opuwo,-18.0607,13.84,12.8,25,0,1.81,NA,1687228955
230,labrador city,52.9463,-66.9114,8.95,87,0,0.0,CA,1687228955
231,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1687228955
232,tabligbo,6.5833,1.5,23.98,95,100,1.77,TG,1687228955
233,migori,-1.0634,34.4731,17.31,91,100,2.04,KE,1687228956
234,wau,7.7029,27.9953,22.09,95,100,2.55,SS,1687228956
235,whitehorse,60.7161,-135.0538,22.23,32,75,3.6,CA,1687228956
236,mount isa,-20.7333,139.5,20.87,23,8,3.09,AU,1687228956
237,saint-denis,48.9167,2.3333,19.52,90,0,3.6,FR,1687228956
238,mweka,-4.85,21.5667,19.29,79,23,0.45,CD,1687228956
239,mitu,1.1983,-70.1733,22.54,89,85,0.53,CO,1687228956
240,enewetak,11.3474,162.3373,27.95,79,64,7.72,MH,1687228957
241,coahuayana de hidalgo,18.7,-103.6583,26.8,76,1,0.98,MX,1687228957
242,al hasakah,36.5024,40.7477,21.69,61,0,3.73,SY,1687228957
243,angaur state,6.906,134.13,28.56,74,26,2.53,PW,1687228957
244,howrah,22.5892,88.3103,32.0,79,40,6.17,IN,1687228957
245,ola,59.5833,151.2833,13.39,74,34,3.5,RU,1687228957
246,miandoab,36.9694,46.1027,17.21,34,0,2.34,IR,1687228958
247,i-n-salah,27.1935,2.4607,34.69,9,1,3.23,DZ,1687228958
248,svetlyy,54.675,20.1347,13.87,89,3,2.66,RU,1687228958
249,carbonear,47.7332,-53.2148,7.46,97,100,3.95,CA,1687228958
250,heilbron,-27.2812,27.9709,3.09,57,0,3.47,ZA,1687228958
251,cabedelo,-6.9811,-34.8339,24.37,84,17,4.15,BR,1687228670
252,coronel suarez,-37.4547,-61.9334,10.08,77,100,2.93,AR,1687228959
253,touros,-5.1989,-35.4608,24.46,88,100,5.14,BR,1687228959
254,qom,34.6401,50.8764,27.66,27,0,2.43,IR,1687228959
255,el idrissia,34.4454,2.5275,25.18,17,1,10.42,DZ,1687228959
256,cockburn town,21.4612,-71.1419,28.42,77,76,8.76,TC,1687228959
257,hemsby,52.6971,1.6918,16.66,89,100,3.43,GB,1687228959
258,faya-largeau,17.9257,19.1043,33.99,15,63,9.79,TD,1687228960
259,nogliki,51.8333,143.1667,10.17,81,84,4.03,RU,1687228960
260,aripuana,-9.1667,-60.6333,24.95,62,49,0.15,BR,1687228960
261,pedreira,-22.7419,-46.9014,14.37,84,0,2.43,BR,1687228960
262,saveni,47.95,26.8667,20.1,92,100,1.96,RO,1687228960
263,omoku,5.3435,6.6532,23.22,99,100,0.93,NG,1687228960
264,las heras,-46.5419,-68.9359,-0.86,63,0,4.81,AR,1687228961
265,tutoia,-2.7619,-42.2744,25.52,87,7,2.23,BR,1687228961
266,copiapo,-27.3667,-70.3333,11.83,53,100,0.89,CL,1687228961
267,nova sintra,14.8667,-24.7167,21.09,84,67,2.25,CV,1687228961
268,buston,40.2342,69.6948,27.1,39,100,2.0,TJ,1687228961
269,berezovyy,51.6667,135.7,25.77,43,100,2.13,RU,1687228961
270,new norfolk,-42.7826,147.0587,10.95,55,90,1.34,AU,1687228961
271,suntar,62.1444,117.6319,9.49,79,100,4.64,RU,1687228962
272,yelizovo,53.1873,158.3805,10.08,87,75,4.02,RU,1687228962
273,illizi,26.4833,8.4667,29.89,16,0,7.92,DZ,1687228962
